"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","M24C_1","M24C_2","M24IK1_1","M24IK1_2","P24C_1","P24C_2","P24IK1_1","P24IK1_2"
"11","CEACAM6",919.367253985903,-3.80828489338939,0.218832040274478,-17.4027756109787,7.86003222458919e-68,1.36578778127998e-64,1889.51516147848,2427.32834532638,157.492033118892,238.805863850686,1180.84129078695,1327.64396110066,64.1834803321084,69.1278958930719
"12","IL1B",341.248828974733,-4.17595621033885,0.240565414223304,-17.3589217877452,1.68864926610498e-67,2.68973683936089e-64,270.631856152391,259.299170420622,12.3337134370217,17.2423006390387,835.389389255285,1223.11575557433,71.3149781467871,40.6634681723952
"13","S1PR1",334.344363600944,4.81668774678794,0.290678450150073,16.5705016808132,1.13871781755907e-61,1.67426556652493e-58,18.9302075547009,29.365076992079,391.832588422304,543.994585161671,19.7025799352662,16.2901099521553,852.213988854106,802.425771935266
"14","ECM1",1331.33107528631,-3.40456120579591,0.207206058228282,-16.4307995379414,1.15130893078998e-60,1.57186563593712e-57,1805.38090567981,2994.12973707915,217.263105929074,267.2556599051,1983.39304681679,2948.50990134011,215.133517409475,219.582728130934
"15","LGR6",353.976657813771,-5.53606967995631,0.339329886031937,-16.3147129322858,7.75699884135913e-60,9.88448505691589e-57,15.4246135630896,21.6082642017185,0,0,1280.6676957923,1452.53480406718,34.4689061042804,27.1089787815968
"16","TMEM236",355.310667917339,-4.75974693147291,0.291954656515437,-16.3030348215091,9.39110646628346e-60,1.12188505622839e-56,764.92060896958,856.573755278381,23.7186796865802,19.8286457348945,400.619125350412,719.479856220191,35.6574890733936,21.6871830252775
"17","PRKACB",1075.03747593507,2.05656057038047,0.126221451003987,16.2932730849016,1.10171806020178e-59,1.2387199413351e-56,517.425673161824,521.368631123517,1912.67432992582,1873.37596443156,321.808805609347,327.159708205785,1558.2322725073,1568.25442251538
"18","LDB3",321.554618523033,-3.72216797654198,0.232055435549761,-16.0399947871241,6.71599938055984e-58,7.13164512000115e-55,593.146503380628,864.330568068742,49.3348537480867,68.1070875242029,518.834604962009,414.04029461728,41.6004039189592,23.0426319643573
"19","COL6A3",2678.40375119437,-4.28579132764088,0.268525644906719,-15.9604544628491,2.40970352276223e-57,2.4241617438988e-54,370.190725514151,347.39440139686,11.3849662495585,13.793840511231,6727.77429522889,12691.3531618916,719.092696313437,546.245922449176
"20","PCLO",1308.22566626624,-2.1267138531989,0.134895532661125,-15.7656359053897,5.36298064588989e-56,5.12540060327697e-53,552.481613077937,447.678909615092,104.362190620953,124.144564601079,3675.18791059165,3841.75093038329,925.90613293912,794.293078300787
"21","PCDH12",204.00395220414,-5.37349732191386,0.342043220647926,-15.709995104522,1.29189092119452e-55,1.1758668127482e-52,159.153967219152,207.771771170371,3.79498874985282,5.17269019171161,462.353875814246,764.277658588618,11.8858296911312,17.6208362080379
"22","TMEM217",240.467000643331,3.35506402801972,0.215307337677212,15.5826738847592,9.54759887411397e-55,8.29512749453702e-52,37.8604151094018,50.4192831373433,563.555829353144,469.852692413805,44.6591811866033,38.010256555029,301.900074154732,417.478273236591
"23","SPARC",205.854166727986,-4.09229149928015,0.263697872790157,-15.5188642819909,2.58587271938918e-54,2.14897265906108e-51,140.223759664451,179.5148102912,7.58997749970565,9.48326535147129,677.768749773156,556.578756698639,49.920484702751,25.753529842517
"24","SV2A",440.142643997513,-3.05588788634829,0.199143096281106,-15.3451861672105,3.81463479995655e-53,3.03803873193206e-50,511.816722775246,633.842416583744,45.5398649982339,70.6934326200587,903.691666364208,1077.86227516761,155.704368953819,121.990404517186
"25","EMP2",620.525348086748,-3.11410941384447,0.203060592697206,-15.335862918947,4.40381471424495e-53,3.36698057792312e-50,1382.60627029149,1501.49733299121,193.544426242494,199.148572380897,664.633696482979,875.593409928346,52.2976506409772,94.8814257355889
"26","MRC1",430.358303475724,-4.94001866253643,0.325116957811702,-15.1945893434373,3.84062846501378e-52,2.82345278770283e-49,618.386780120229,539.652546986509,12.3337134370217,10.3453803834232,1037.66920992402,1119.94505921068,76.0693100232396,28.4644277206767
"27","FRMPD1",190.179174931843,-2.78665377612917,0.183603876239052,-15.1775323768271,4.9817329470571e-52,3.52669790926109e-49,242.5871042195,237.13684816245,38.8986346859915,37.0709463739332,433.456758575856,419.470331267998,65.3720633012215,47.4407128677945
"28","SOD2",1372.79530016532,-1.4287370601118,0.0961947870990269,-14.8525414234869,6.69804749866737e-50,4.57237428176886e-47,1811.69097486471,1904.2975400335,703.970413097699,674.173954986413,2127.87863300875,2163.86960531129,832.008078379183,764.473201641031
"29","GVINP1",636.310358402682,2.29116609241058,0.154483022578838,14.8311837389207,9.20944993400253e-50,6.06998020822498e-47,361.076181135961,274.258737944889,1691.6162352469,1488.01054514904,101.139910334366,120.818315478485,489.696183274605,563.866758657214
"30","CD34",315.702349091469,-5.34472771640465,0.360553427122506,-14.823677475651,1.0298831674368e-49,6.56172895412902e-47,274.137450144002,320.799614687052,5.69248312477924,17.2423006390387,705.352361682529,1172.88791655518,11.8858296911312,17.6208362080379
"31","TMEM154",1831.00560832164,-2.2562228930638,0.152638142454379,-14.7815143501117,1.92782420774426e-49,1.18865909376851e-46,4506.09051681713,4381.49111044078,976.260855899639,874.184642399262,1610.35753337575,1620.86594023945,417.192622158705,261.601645242409
"32","NRP1",1640.4720523778,-4.0787757577531,0.277713946667189,-14.6869676755597,7.81327747243401e-49,4.66696830025324e-46,2711.22639311216,2415.69312614084,80.6435109343725,93.108423450809,3336.30353570507,3769.80294476127,376.780801208859,340.21768370904
"33","CLEC11A",972.862657964163,-2.9140277667559,0.200050994708352,-14.5664247808624,4.59307517414828e-48,2.66036481450516e-45,877.800735499464,1497.61892659603,147.055814056797,137.93840511231,2012.29016405518,2455.73407528741,291.202827432714,363.260315673397
"34","IPP",202.76131086275,2.42091569172514,0.168394378639506,14.3764638183545,7.27161552268093e-47,4.08793115001539e-44,47.6760782859134,43.7705864598914,227.699324991169,262.082969713388,88.0048570441889,76.020513110058,406.495375436687,470.340781860705
"35","SYNE1",1475.64454378025,2.52804010605324,0.176501007305296,14.3230916619103,1.56981232135443e-46,8.57296934581961e-44,463.439525691011,350.164691679131,1888.00690305178,1989.76149374507,505.699551671832,382.817583875649,2917.97118917271,3307.29541135481
"36","CACNB4",212.646315105363,-3.04175434637158,0.212525666370842,-14.3124094059488,1.8305947699707e-46,9.71944123144999e-44,630.305799691708,597.274584857759,58.8223256227188,75.8661228117703,130.037027572757,165.616117846912,20.205910474923,23.0426319643573
"37","SLCO2B1",206.248006953902,-6.62036047344893,0.462672068273788,-14.3089694135832,1.92342542950714e-46,9.93631179989175e-44,253.103886194334,337.975414437136,3.79498874985282,2.58634509585581,325.749321596401,716.764837894832,5.94291484556559,4.06634681723952
"38","HIP1R",1723.1124666027,2.7346411138492,0.192261596103982,14.2235431790039,6.54532329213414e-46,3.29229761594347e-43,325.319122421526,457.65195463127,3512.26208798879,2704.45485523322,575.315334109772,457.480587823027,2540.00180499474,3212.41398561922
"39","CLEC14A",464.908345491558,-3.45539398274192,0.244478287146986,-14.1337458760272,2.35288337037945e-45,1.15315417285725e-42,894.627586659198,1469.36196571686,109.105926558269,123.282449569127,376.976029428093,659.749453062289,42.7889868880723,43.3743660505549
"40","NBR1",1122.34477354875,1.77542478415171,0.125818674515005,14.1109798763614,3.25030074631478e-45,1.55315621162652e-42,506.908891186991,411.665135945561,1564.48411212683,1443.18056348754,593.70440871602,509.065936004852,2027.72254530698,1922.02659561522
"41","KMO",97.6049608095829,4.86751205305751,0.3471959986958,14.0194935176146,1.18457021883949e-44,5.52240857631657e-42,9.81566317651157,8.31087084681482,313.086571862858,252.599704361917,1.31350532901774,6.78754581339803,83.2008078379183,105.725017248228
"42","IL6R",118.608770395441,-4.08928627024681,0.294119727937229,-13.9034749519405,6.03392789827385e-44,2.74601185351444e-41,240.483747824534,233.812499823724,9.48747187463206,13.793840511231,210.160852642839,211.771429378019,22.5830764131493,6.77724469539921
