ID,DF0_1,DF6_1,DF0_2,DF6_2,DF0_3,DF6_3,DFM4_1,DFM4_2,DFM4_3,padj,log2FoldChange,pvalue,foldChange,log10padj
AI506816,462.277649166456,637.861098068331,259.84136586839,621.844596769354,283.644165250034,454.035808052581,1770.12351354936,1359.9936904252,1689.5822265627,2.1156035546885e-09,1.8256536963262,1.35048642286252e-10,3.54467583273744,8.6745657119403
AL590503.1,1.99687969402357,2.02817519258611,0,0,0,0,1.98555638087421,37.0996125169833,3.01173302417594,0.00614000079921149,4.3915062448162,0.00155121620550994,20.9881957388054,2.21183157232901
AL591582.1,65.8970299027777,47.6621170257735,79.6448631014222,59.1755342086966,80.6146574921148,70.849543674139,20.8483419991793,34.1706957393267,36.1407962901113,0.000587118927053142,-1.14765452080276,0.000110192021597971,0.451358436661896,3.23127391897127
AU019990,0,4.05635038517221,0.995560788767778,4.01190062431841,3.98097074035135,8.98092807136974,0,0,0,0.0388077344896545,-4.33185297186043,0.0132172217769047,0.049657210420744,1.41108170967844
AU020206,2411.23223053346,2907.38913857218,3614.8812240158,3347.93107099371,3178.80513617055,3548.46446908786,1747.28961516931,1295.55752131676,1614.28890095831,6.03771507649489e-08,-1.02918533143756,4.89911248059037e-09,0.489986758966661,7.21912738545431
AV356131,1.99687969402357,0,0,3.00892546823881,0.995242685087837,1.99576179363772,4.96389095218554,11.7156671106263,5.01955504029324,0.0371020140005848,2.44045981781609,0.0125278715514449,5.42814710088245,1.43060251503185
AW112010,127.800300417508,63.8875185664624,71.68037679128,39.1160310871045,120.424364895628,47.8982830473053,21.8411201896164,19.5261118510439,34.132974273994,0.0017369272254886,-1.64146292991685,0.000372547270155652,0.320531282568835,2.76021837742557
Aaed1,257.59748052904,353.916571106276,273.779216911139,311.925273540756,321.463387283371,284.396055593375,125.090051995076,109.346226365846,101.395011813923,1.13273741196256e-14,-1.42445452515805,3.33532481382547e-16,0.372560202061271,13.9458707554084
Aars,876.630185676345,1168.2289109296,725.76381501171,1002.9751560796,692.688908821135,966.946589017475,1960.73692611329,1850.0990978864,1973.6890418433,1.20356963868972e-08,1.0904316005672,8.65682814971256e-10,2.12937729992541,7.91952877632896
Aatf,331.482029207912,366.085622261792,319.575013194457,334.993702130587,317.48241654302,276.413008418824,929.240386249132,870.864588556556,915.566839349487,5.07812178378543e-34,1.48085791109164,8.56055594029911e-37,2.7911466187899,33.2942968880642
Abca1,2326.36484353745,6633.14696735286,3600.94337297305,5967.70217867364,2663.26942529505,6545.1008022349,1973.64304258897,1262.36313116998,1329.17817466965,0.000172980947852974,-1.60304083939491,2.87426760396294e-05,0.32918241198219,3.7620017274953
