"ID","Control1_UT","Control1_MT","Control2_UT","Control2_MT","Control3_UT","Control3_MT","Control1_polyAdT","Control2_polyAdT","Control3_polyAdT","padj","log2FoldChange","pvalue","foldChange","log10padj"
"AC026803.1",5.83945922582968,9.04285702346488,8.05873551144472,12.2141807027989,7.7456619680457,10.2789845478912,19.968157094511,18.8227138109114,24.8714610783864,0.00515558733875508,1.26177967404497,0.00179826848592066,2.39791359429516,2.28772185153465
"AC027020.2",131.502170438283,130.888969602014,103.391887045364,130.778815133617,140.75803555384,89.7825565577739,259.898321251801,308.115167962451,300.1604663084,3.42321361506952e-17,1.26006023502202,2.62636625377494e-18,2.39505740495406,16.4655659992111
"AC027031.2",28.6466404888854,19.0989737090234,19.7819385517081,24.5240969687185,13.1179969030701,26.5110389836907,11.6356078026554,7.20156850853872,14.0642508632824,0.0268548925745624,-1.00787993431393,0.0113510877921428,0.49727646754939,1.57097658055782
"AC027449.1",27.368349662796,27.2439931025473,31.8793343100209,16.837766203707,25.2082701776005,29.2261335524751,9.73578048590894,17.0422813276912,7.89556783383485,0.00253239112467566,-1.27341814777108,0.000823792678977946,0.413678490936493,2.59646921722889
"AC027682.2",26.4354407754704,31.2242399084312,18.2812488121756,52.0077684350308,20.7859519941324,35.7125442243817,14.110305656173,14.3049983881018,15.3913275732527,0.013303386447194,-1.07723564298448,0.00515816994666073,0.473936065766636,1.87603779300851
"AC027796.1",24.5478583851615,17.5783574784215,14.3938529969586,27.0390513598945,17.1015446270058,20.978301758585,7.83332831416749,8.71874237594495,7.2181574944135,0.00233701023347836,-1.43191226652342,0.000754454384644351,0.370639291160512,2.63133938588186
"AC027796.2",9.7608229997019,13.4153255435005,11.1368803832672,13.9685968087457,11.7991537995329,7.80300666426264,3.25975886931524,2.9255876877441,3.85240443141924,0.00302625465064404,-2.01918017836266,0.00100108148987501,0.246698324363097,2.51909453014088
"AC027796.3",7.90296033654354,5.07301910314894,6.06225269239217,9.69549907166103,0.756135452888377,8.78257436907936,0,0.835481709300196,3.4336161489321,0.0427098613239402,-2.53907571728171,0.0192206113735669,0.172052920070561,1.36947183869599
"AC027796.5",9.70353612635939,4.59381299789878,7.16755289185362,15.7669456298657,12.9353983914082,8.24434789976179,5.89365420191893,1.5884490283956,0.799636650208507,0.0112299643434115,-2.19496976116738,0.00426730414954846,0.218397801540728,1.94962162267747
"AC034102.6",29.2511398670186,33.1694022550356,37.1033613265376,29.4986871613247,30.2542274418682,31.1446750668566,7.90628951847566,9.88481096783982,10.2545626939481,6.17811148750136e-07,-1.85114211818965,1.1367476110889e-07,0.27717285558426,6.20914425887533
"AC034102.7",5.47406866106807,7.80387516980111,10.0170457901763,6.56496032307506,5.43108692714768,9.01113743744385,3.09902046682103,2.42755905805404,1.8169986305492,0.0377927248248177,-1.77020560019944,0.0167290625094832,0.293166954756697,1.42259179467412
"AC034198.2",29.4369171521552,13.2678358852233,31.4973993829841,16.8788346364265,26.7821473142176,14.8272818088534,47.5785470034316,43.7703005019261,52.2151550740162,0.00067125349176608,1.14052940908063,0.000193578782711581,2.20461908685435,3.17311344214781
"AC037198.1",171.384479376311,76.6331591959278,188.043254535677,93.4635734701882,161.372093915799,94.8706077247518,5.26790855974104,5.84923960941411,6.08352940119223,2.19090809814054e-27,-4.60959479524651,1.01629610912786e-28,0.0409612969125162,26.6593758393756
"AC039056.2",13.0756109673801,1.32541652158096,7.75691926055915,9.64065021211289,9.89607398723716,7.83838653641857,45.3633901440404,39.2283953498209,40.1797676773776,1.0638377273309e-09,2.43296520699694,1.45015622780174e-10,5.40002170836839,8.97312461217196
"AC040162.1",257.093540672589,273.021120682342,292.463710567758,288.881146438739,325.651057162107,264.177769874941,741.107139188031,694.858716991034,780.193591595181,4.07841364829984e-48,1.38281884996459,9.17232091111772e-50,2.60777400837174,47.3895087285178
"AC040168.1",1.08905996169458,12.3808146499989,8.05167072886839,9.97929274815998,9.37405494683169,6.27282777460803,4.86720713925584,1.93727336983027,1.14969646012927,0.0398815194339634,-1.93618006180988,0.0177925063799379,0.261307409411745,1.39922830399089
"AC048382.5",38.4482144529187,44.545171892564,49.8435344911058,51.9448456440727,48.1482557964512,36.5248254933721,27.1260587521773,16.407671160992,19.9249442339308,0.00027635261707558,-1.09853541409109,7.4518498384204e-05,0.466990331467868,3.55853641826838
"AC048382.6",20.0237853299138,18.7206878184921,17.977002731437,20.9902104403142,20.5987409122516,18.5037698869184,7.88827547683922,8.19828012852995,4.33209044123731,0.000739189770034025,-1.5820530823973,0.00021514341042321,0.334006229974924,3.13124405213497
"AC053503.5",6.99710488901221,10.7211649840238,7.84989947143949,10.9667494986404,3.71110496558104,6.42472846455281,14.5664677546898,17.6020342770937,19.215561511963,0.0208360430207928,1.18853986321566,0.00856079634923559,2.27921948945295,1.68118475453778
"AC055764.2",13.4077189876323,14.3276552344538,10.7708838209539,17.299068105786,23.320411132292,12.3972837449421,37.4387304444847,39.4431436657389,28.7283181597953,0.000583034884591635,1.22744525589466,0.000166188442965085,2.34151982971735,3.23430545942211
"AC055822.1",74.7953372866914,68.3588825552914,67.5042830712213,58.8697054823819,61.6674850722239,66.4410369828146,25.8055894618711,44.8387107325347,24.5208650645966,2.00780416858655e-05,-1.08338377220497,4.53944731410005e-06,0.471920656969277,4.69727864842429
"AC055839.1",68.6503230837407,81.4702235558107,69.4149641723479,89.1233618441105,65.3359403364042,57.2403289062323,19.710750228105,27.0069340506978,38.2703112362813,3.3622216925257e-07,-1.36592770278082,5.99692711189771e-08,0.387984869586134,6.47337365417247
"AC055839.2",477.774088171114,434.322402220356,473.070016093283,569.396959717799,548.775540934867,475.418088000584,239.856352874756,203.241872343699,248.171563622851,1.23989490497681e-19,-1.10891891370489,8.2633157142784e-21,0.463641331324444,18.9066151246143
"AC060766.1",24.2435297255117,32.0322949868039,35.2291827225905,37.2959069183858,24.9390025601316,35.2082905355069,104.898497385897,118.671968150655,112.453625189398,1.89228013412655e-19,1.85210088185632,1.28105076870604e-20,3.61025535164636,18.7230145699958
