,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,M24C_1,M24C_2,M24IK1_1,M24IK1_2,P24C_1,P24C_2,P24IK1_1,P24IK1_2
45,MYO5C,1695.255412,-2.466852517,0.180724084,-13.64982719,2.02E-42,8.60E-40,3669.65579,2684.965342,418.3975097,600.8941773,2366.936603,2772.03371,569.3312422,479.8289244
46,BCL11A,4061.463884,-2.194025278,0.161112263,-13.61799056,3.13E-42,1.30E-39,8916.127758,8902.050793,1910.776836,2121.665094,3593.75058,5195.187566,1067.347506,784.8049357
47,FMNL1,2160.592627,2.128151186,0.156485271,13.59969009,4.02E-42,1.64E-39,829.4235384,1181.805834,3989.481923,3917.450705,591.0773981,661.1069622,2809.810139,3304.584513
48,SIGLEC10,130.07,3.143358361,0.234218221,13.4206397,4.58E-41,1.82E-38,23.13692034,22.71638031,166.979505,154.3185907,28.89711724,24.43516493,294.7685763,325.3077454
49,MPO,139.2502827,-5.3268678,0.398978279,-13.35127269,1.16E-40,4.54E-38,155.6483732,267.0559832,3.79498875,3.448460128,302.1062257,359.7399281,5.942914846,16.26538727
50,AL356234.3,266.3373473,-4.800356257,0.361469029,-13.28013155,3.02E-40,1.15E-37,1150.535948,779.5596854,27.51366844,36.20883134,42.03217053,88.23809557,1.188582969,5.421795756
51,AL096816.1,136.7732546,2.802291092,0.211262837,13.26447721,3.72E-40,1.39E-37,33.65370232,39.89218006,265.6492125,296.567571,34.15113855,29.86520158,222.2650152,172.1420153
52,CD96,500.6682123,4.063228812,0.306385664,13.26181113,3.85E-40,1.42E-37,29.44698953,25.4866706,540.7858969,591.4109119,102.4534157,89.59560474,1955.218984,670.9472248
53,SLC43A3,1163.984377,-2.133351213,0.162391442,-13.13709139,2.02E-39,7.28E-37,2277.934976,1744.72882,371.9088975,403.469835,1840.220966,1713.176563,438.5871156,521.8478415
54,ACTN1,1914.488888,-2.207591357,0.168307484,-13.11641824,2.65E-39,9.39E-37,2263.211481,3160.347154,526.554689,586.2382217,3553.031915,3594.684263,966.3179539,665.5254291
55,ERG,1679.168563,-3.363270822,0.258130522,-13.02934188,8.33E-39,2.90E-36,2975.54818,2973.075531,313.0865719,462.9557722,2198.807921,4060.309906,186.6075262,262.9570942
56,ABCA9,649.9711859,-3.584859917,0.276878996,-12.94738845,2.43E-38,8.30E-36,2914.550845,1863.851302,185.0057016,208.6318377,13.13505329,12.21758246,2.377165938,0
57,AC112482.3,154.1823621,-6.057440495,0.471749355,-12.84037895,9.74E-38,3.27E-35,388.4198143,579.5447271,6.641230312,7.759035288,72.2427931,175.118682,2.377165938,1.355448939
58,SPIB,163.0017387,5.419435592,0.423009233,12.81162484,1.41E-37,4.65E-35,0.701118798,4.432464452,256.1617406,242.254324,10.50804263,21.7201466,330.4260654,437.8100073
59,CTDSPL,702.8306152,-2.666877783,0.20883216,-12.77043625,2.40E-37,7.77E-35,986.4741492,1000.074792,108.1571794,113.7991842,1346.342962,1455.249822,338.7461462,273.8006857
60,INPP4B,744.210887,-2.372462971,0.186262801,-12.73718079,3.67E-37,1.17E-34,1375.595082,1205.076273,300.7528584,325.017367,1023.220651,1362.939199,169.9673646,191.1183004
61,SPATA48,93.3992398,-4.67989144,0.368699808,-12.69295871,6.47E-37,2.03E-34,265.7240246,353.48904,10.43621906,13.79384051,48.59969717,51.58534818,3.565748907,0
62,FLT3,1494.541699,-2.492435283,0.196430599,-12.6886305,6.84E-37,2.11E-34,3213.928572,2500.464009,349.138965,434.5059761,2412.909289,2022.688652,555.0682466,467.629884
63,TCF7,1013.311871,3.862158404,0.306524377,12.59984097,2.12E-36,6.42E-34,149.338304,211.6501776,1487.63559,1544.048022,74.86980375,99.09816888,1860.132347,2679.722553
64,CMTM4,150.3980818,-2.749850502,0.220364566,-12.47864188,9.76E-36,2.92E-33,152.1427792,150.1497333,18.97494375,15.51807058,374.3490188,359.7399281,71.31497815,60.99520226
65,ITGA6,2876.103575,-3.105569319,0.250375709,-12.40363663,2.50E-35,7.34E-33,9362.740433,8295.911279,1351.015995,1373.349246,838.0163999,1582.855684,123.6126288,81.32693634
66,SPATS2L,3482.589115,-1.663043252,0.13416069,-12.39590561,2.75E-35,7.86E-33,7585.404279,7728.555829,2348.149289,2794.976934,2523.243737,3188.789023,782.0875937,909.5062381
67,PECAM1,932.4485093,-3.386350613,0.273186197,-12.39576027,2.76E-35,7.86E-33,1808.185381,1663.282285,115.7471569,130.1793698,1589.341448,1726.751655,305.4658231,120.6349556
68,SCD,2135.489648,-2.048290826,0.165553297,-12.37239526,3.69E-35,1.04E-32,4084.017,4429.694161,937.3622212,1287.137743,3043.391847,2144.864477,580.0284889,577.421248
69,HRH2,580.7752823,-2.419946576,0.19588327,-12.35402376,4.63E-35,1.28E-32,987.8763868,1364.644993,221.0580947,302.6023762,747.3845322,787.3553144,129.5555436,105.7250172
70,ADCY6,1110.14462,-2.725506473,0.220952063,-12.3352841,5.85E-35,1.60E-32,1630.802325,1708.160988,215.3656116,193.1137672,2429.984859,1897.797809,525.3536723,280.5779304
71,CREG1,415.253689,-1.865619022,0.151310116,-12.32977064,6.26E-35,1.69E-32,457.1294565,502.5306572,132.8246062,143.1110953,919.4537303,734.412457,240.0937598,192.4737493
72,SLC4A8,175.5912609,3.440961767,0.280296321,12.27615746,1.22E-34,3.23E-32,54.68726627,43.2165284,483.8610656,324.155252,17.07556928,10.8600733,247.2252576,223.6490749
73,NOS2,194.3054335,-4.402579397,0.359789764,-12.2365332,1.98E-34,5.19E-32,22.43580155,29.91913505,1.897494375,2.586345096,609.4664727,829.4380984,35.65748907,23.04263196
74,POU2AF1,4964.167068,2.446801408,0.200659618,12.1937908,3.35E-34,8.66E-32,1764.014897,2648.951568,9523.524268,11506.64933,824.8813466,1143.022715,5134.678427,7167.61399
75,SCPEP1,1053.194534,2.127954418,0.174751685,12.17701803,4.12E-34,1.05E-31,410.8556158,348.5025175,1305.47613,1298.345238,388.7975774,377.3875472,2321.302539,1974.889104
76,EFR3B,629.7731527,-2.293456577,0.188430802,-12.1713465,4.42E-34,1.11E-31,1416.259973,1433.90225,319.7278022,397.4350297,634.4230739,633.956779,83.20080784,119.2795066
77,TBC1D4,1612.16745,-1.992682498,0.16417102,-12.13784564,6.66E-34,1.65E-31,3201.308433,2520.964157,584.4282675,581.9276466,2200.121426,2385.143599,732.167109,691.2789589
78,ANXA4,589.5832093,-1.741206317,0.143539421,-12.13050952,7.28E-34,1.78E-31,1023.633446,1057.69683,270.3929484,318.1204468,774.9681441,779.2102594,285.2599126,207.3836877
79,PIP4K2A,635.608583,1.713182918,0.141795107,12.0821018,1.31E-33,3.18E-31,315.5034592,332.9888919,1235.268838,1252.653141,261.3875605,257.9267409,701.2639518,727.8760803
80,AC020743.2,138.5566594,-5.634911264,0.46721854,-12.06054723,1.71E-33,4.08E-31,471.8529513,458.7600707,14.23120781,7.759035288,43.34567586,111.3157513,1.188582969,0
81,NT5E,1293.107297,1.62742778,0.136001235,11.96627205,5.34E-33,1.26E-30,677.981878,778.4515693,2020.831509,1954.414777,595.017914,491.4183169,1870.829593,1955.912819
82,SPN,4806.536739,-2.62915023,0.219791891,-11.96199832,5.62E-33,1.31E-30,6996.464488,10612.98207,1556.894135,2119.078749,7421.305109,7840.972924,1108.94791,795.6485272
83,METTL8,521.5995733,-1.649809027,0.138313317,-11.92805629,8.45E-33,1.95E-30,799.9765489,656.0047388,219.1606003,218.1151031,897.1241397,806.3604426,309.031572,267.023441
84,DEPP1,130.683465,-4.868627686,0.40828337,-11.92462892,8.81E-33,2.00E-30,132.5114529,276.4749702,2.846241562,9.483265351,206.2203367,395.0351663,10.69724672,12.19904045
85,IQGAP3,766.2352383,-1.831703507,0.154193687,-11.87923798,1.52E-32,3.41E-30,1396.628646,1367.415283,390.8838412,331.0521723,956.2318795,1071.074729,251.9795895,364.6157646
86,TIAM2,1389.964607,-1.860311507,0.157508866,-11.8108368,3.43E-32,7.63E-30,2710.525274,2453.923132,708.714149,846.5969614,1989.960573,1528.555317,499.204847,382.2366008
87,GNB4,1406.992197,-1.788550294,0.151476642,-11.80743294,3.57E-32,7.85E-30,1838.333489,2057.771622,637.55811,678.4845301,2385.325677,2459.806603,518.2221745,680.4353674
88,PLVAP,467.0693512,-3.831094946,0.325294066,-11.77732812,5.11E-32,1.11E-29,58.89397906,100.2845082,3.79498875,2.586345096,1450.109883,1833.994879,177.0988624,109.7913641
89,AMD1,1642.512435,-1.408554471,0.119689201,-11.76843405,5.68E-32,1.22E-29,1757.704827,1693.755479,657.4818009,708.6585563,3350.752094,2776.106238,1169.565642,1026.074847
90,NEDD4,364.4360079,-1.843033622,0.156640555,-11.76600546,5.84E-32,1.24E-29,610.6744733,501.9765991,135.6708478,147.4216705,535.9101742,627.1692332,162.8358668,193.8291983
91,CACNB3,274.1420848,-2.204709915,0.187471626,-11.76023254,6.26E-32,1.31E-29,405.9477842,583.9771915,111.9521681,89.65996332,425.5757266,386.8901114,101.0295524,88.10418104
92,MAPKAPK2,991.3327097,1.872230026,0.159638166,11.72796003,9.16E-32,1.90E-29,379.3052699,506.9631217,1745.694825,1756.12832,346.7654069,461.5531153,1243.257786,1490.993833
93,SERPINB9P1,107.2234282,2.911603911,0.249191462,11.68420414,1.54E-31,3.16E-29,21.73468275,28.25696088,237.1867969,154.3185907,28.89711724,21.7201466,175.9102794,189.7628515
94,PTGIR,111.3390352,-4.140208389,0.354704587,-11.67227191,1.77E-31,3.59E-29,141.6259973,159.5687203,6.641230312,9.483265351,313.9277736,228.0615393,27.33740829,4.066346817
95,NCKAP5,408.7067893,-4.371940104,0.376751776,-11.60429861,3.92E-31,7.88E-29,999.7954064,813.3572269,15.179955,25.00133593,522.7751209,765.6351678,73.69214409,54.21795756
