baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TROAP	3701.64599155826	3.00321499020228	0.0708197641051818	42.406452889929	0	0
MRPL1	4680.26558909203	-2.35115711337778	0.0647525872873489	-36.3098558972505	1.13094267924645e-288	1.28014911686014e-285
ZNF789	2522.29855154154	-3.01698119587464	0.0855684996333722	-35.2580822241974	2.57970559883502e-272	2.82271386624528e-269
RP11-258C19.5	1389.60434601522	-2.73788280336194	0.0784155166399902	-34.915064271421	4.39222061216108e-267	4.65093657467095e-264
PDPN	884.445875322094	2.86820968496835	0.083409119917539	34.3872431192651	3.91170565225692e-259	4.0126765544058e-256
RPL35AP26	1261.67022914087	-4.9114237332491	0.144073054329081	-34.0898147548866	1.04417797400547e-254	1.03867230832435e-251
LYPLA1	2733.52953855874	-3.36889650770664	0.0990860816930797	-33.9996945094855	2.25107766008403e-253	2.17334927264466e-250
ITK	8633.28753288218	-2.53559265413382	0.0747904937964668	-33.9026061391455	6.09787613064334e-252	5.71911091041424e-249
JTB	1740.26756525077	-3.94392043160513	0.116544051584423	-33.8405982801122	4.99026230362742e-251	4.55028751052427e-248
C15orf58	1036.93917426921	-3.35215519706929	0.0995742750707798	-33.6648717220035	1.88925457458498e-248	1.67612623419801e-245
SDAD1	949.082726751314	-5.32594660088869	0.159296373857115	-33.434198606843	4.36782999644698e-245	3.77311545956233e-242
AC005921.2	4524.47877450532	-4.05907618980931	0.122033276115559	-33.2620439196074	1.36711071223679e-242	1.15068657025345e-239
TACC1	4367.983595878	-2.68180010957569	0.082565502718638	-32.4808790750609	1.98578674296736e-231	1.62963589061616e-228
GOLGA2B	1555.77054692322	-1.70971934554225	0.0528867965179603	-32.3279052260546	2.83652984764542e-229	2.27102265314167e-226
C1S	1551.8703928201	-2.61220486427469	0.0819039594408329	-31.8935114017503	3.28467050294357e-223	2.56720461737204e-220
RP11-501O2.5	2650.07127019128	-2.18627481935179	0.068870123529064	-31.744894699211	3.73453263741452e-221	2.850924845483e-218
OSMR	1245.41591977686	-4.05756717366477	0.128183569340259	-31.6543469225302	6.60758709721206e-220	4.92956031938825e-217
RP11-182J1.16	8096.68753807077	-2.16181674974325	0.0688325091527121	-31.4069147900309	1.62807949841075e-216	1.18762972477403e-213
MKRNP2	527.955039864889	-3.75860401788642	0.120760758898228	-31.1243822262992	1.12709411335388e-212	8.04304160107708e-210
TNS1	13332.3426288847	2.48329115504512	0.0815464421893119	30.4524769980781	1.11077956844358e-203	7.75796810930404e-201
RP11-365F18.3	1512.8959682149	5.09414417959891	0.167745336161315	30.3683207901533	1.43973956684963e-202	9.84601896279288e-200
CDC42SE1	12900.9617352866	-1.91614378743044	0.0632933760168611	-30.2740019258884	2.52146122271998e-201	1.68917318565318e-198
PCBP3	1815.24745618788	-1.86746747758018	0.0627135437744143	-29.7777380321166	7.58805242048671e-195	4.98170817509793e-192
SLC19A3	19929.1433206861	-1.73765890593463	0.0585975701927977	-29.6541119404334	3.00182171094925e-193	1.9321137153651e-190
NIPAL3	2145.05254851998	-1.9225707634974	0.0649298602696019	-29.6099630511216	1.11220254228482e-192	7.02099243327723e-190
HIVEP3	863.045978146194	-2.99331117450155	0.1014735612231	-29.4984342563917	3.01520101654388e-191	1.8674903503598e-188
RP11-89K22.1	1162.68635904181	2.64113466310527	0.0902269266917592	29.2721337182206	2.34785056528067e-188	1.42723227140561e-185
P4HTM	776.23266697771	-2.69958857987244	0.0924165530096338	-29.2110935969558	1.40201346680375e-187	8.36772619296362e-185
MED24	3856.62993382866	2.88700298625168	0.0999967730144277	28.8709615242798	2.76499426932052e-183	1.62078039079849e-180
ACOT7	3274.16097936906	-1.93346962328264	0.0671447118414145	-28.795560666776	2.43784607603581e-182	1.4039427244202e-179
DERA	585.401137052013	3.8936557845754	0.136317786710256	28.5630795403932	1.93256268143159e-179	1.09376383759782e-176
